StationId,Date,PM2.5,PM10,NO,NO2,NH3,CO,SO2,O3,AQI,AQI_Bucket
DL035,2018-12-29,255.21,386.75,112.95,59.47,40.46,2.5,11.53,30.72,422.0,Severe
DL038,2019-01-17,404.83,579.56,102.82,75.91,81.4,2.81,21.68,11.39,632.0,Severe
DL026,2019-01-17,411.75,586.75,186.34,74.13,66.47,3.3,14.7,20.08,576.0,Severe
DL002,2018-11-30,242.66,507.5,286.53,118.72,132.44,3.31,4.22,19.37,524.0,Severe
DL032,2020-01-22,225.12,303.01,31.55,24.68,63.77,1.62,1.74,14.69,433.0,Severe
DL002,2017-01-16,181.23,416.69,75.77,80.97,78.21,3.25,29.07,20.17,475.0,Severe
DL002,2017-03-01,87.34,467.65,159.42,112.93,84.04,4.1,30.76,45.6,512.0,Severe
DL031,2016-01-30,249.34,469.88,108.4,124.37,85.97,4.94,52.4,68.19,486.0,Severe
DL008,2018-06-12,126.78,656.07,12.54,28.31,12.74,0.54,8.6,5.58,434.0,Severe
DL031,2018-12-25,301.57,425.72,87.76,86.46,41.64,1.48,15.4,69.21,507.0,Severe
DL002,2016-12-05,312.47,719.8,12.56,16.37,9.83,5.04,23.69,14.93,506.0,Severe
DL014,2018-12-12,211.7,285.11,81.99,54.83,35.6,1.64,5.82,7.67,414.0,Severe
DL010,2018-11-05,323.25,479.29,16.41,32.14,46.05,1.89,23.88,32.58,401.0,Severe
DL020,2020-01-22,214.44,310.96,40.7,40.29,52.6,1.89,8.67,27.16,449.0,Severe
DL010,2019-11-03,573.51,704.43,17.92,35.89,7.74,2.61,12.29,7.24,738.0,Severe
DL031,2017-12-20,292.83,503.08,94.68,98.38,53.71,2.41,57.91,65.89,405.0,Severe
DL020,2019-12-31,295.28,436.74,40.58,37.67,66.88,2.32,11.8,8.43,451.0,Severe
DL002,2016-05-17,95.35,514.58,110.95,86.03,56.58,1.18,10.74,29.49,513.0,Severe
DL038,2019-10-28,313.32,447.5,30.69,43.15,55.1,2.08,29.75,26.07,444.0,Severe
DL015,2019-12-12,301.05,470.86,85.37,201.07,97.13,1.99,8.67,29.7,549.0,Severe
DL002,2018-03-09,163.92,383.86,92.68,173.31,43.97,2.41,35.11,28.92,442.0,Severe
DL018,2019-11-15,390.78,558.95,115.42,97.49,17.99,3.05,21.9,11.12,623.0,Severe
DL032,2018-11-12,339.17,549.96,97.6,86.2,68.37,3.57,21.41,38.25,520.0,Severe
DL014,2019-01-01,274.22,343.41,106.5,54.39,59.9,3.51,12.18,11.55,429.0,Severe
DL002,2015-06-10,106.35,410.31,116.57,57.54,64.04,0.71,9.16,3.18,505.0,Severe
DL019,2018-01-07,217.71,319.25,28.5,58.06,26.73,2.55,16.45,28.29,402.0,Severe
DL005,2020-01-01,427.91,543.33,63.5,58.7,52.92,2.91,11.99,25.89,564.0,Severe
DL008,2019-05-09,173.72,456.62,7.91,19.65,19.4,1.51,41.12,59.87,437.0,Severe
DL003,2018-12-12,308.73,373.75,37.46,43.29,47.19,2.48,15.16,34.71,491.0,Severe
DL024,2019-11-02,335.81,465.23,29.36,44.89,68.42,1.82,14.92,22.73,489.0,Severe
DL002,2016-10-31,450.52,593.76,185.75,110.27,112.82,4.16,63.4,70.27,542.0,Severe
DL019,2017-11-11,377.04,506.08,134.56,82.82,25.85,3.56,19.84,22.65,499.0,Severe
DL002,2016-11-26,123.56,492.66,91.67,80.55,38.66,1.72,24.15,38.27,499.0,Severe
DL022,2018-06-15,81.84,514.89,0.99,12.7,20.56,0.76,3.05,42.77,515.0,Severe
DL035,2019-01-05,328.91,510.3,31.86,66.11,52.09,2.11,17.17,32.79,458.0,Severe
DL038,2019-02-06,257.83,408.56,82.77,97.67,84.7,2.21,19.48,18.55,537.0,Severe
DL002,2017-12-30,403.38,655.95,78.63,133.32,151.86,3.44,22.22,17.1,651.0,Severe
DL002,2018-10-24,221.82,566.33,236.35,165.21,89.0,3.58,22.12,74.46,537.0,Severe
DL003,2018-11-01,317.27,523.52,123.55,91.75,65.29,3.63,22.32,40.58,510.0,Severe
DL027,2019-12-20,365.31,410.33,43.29,28.28,12.95,2.11,0.71,8.69,463.0,Severe
DL037,2018-12-09,273.36,479.47,72.13,65.03,40.3,3.29,17.24,27.75,421.0,Severe
DL028,2015-11-13,401.28,401.28,12.55,91.16,46.48,1.54,31.93,508.55,472.0,Severe
DL032,2019-01-03,433.41,613.49,52.36,52.65,74.25,2.35,20.53,26.45,676.0,Severe
DL038,2019-11-05,240.52,351.17,42.15,52.91,31.41,1.68,15.7,24.92,430.0,Severe
DL003,2019-07-12,68.48,478.09,3.67,25.97,48.4,0.5,11.7,23.6,407.0,Severe
DL028,2018-04-21,122.46,122.46,4.34,49.54,51.13,0.51,31.29,446.61,423.0,Severe
DL028,2018-01-13,175.12,175.12,108.88,117.99,75.36,2.64,27.12,565.52,498.0,Severe
DL024,2019-12-07,341.55,449.34,58.31,61.31,53.13,3.36,15.26,28.48,447.0,Severe
DL008,2018-12-27,387.52,576.47,59.81,47.27,25.28,6.13,18.56,60.42,574.0,Severe
DL002,2017-03-24,124.03,396.26,100.18,225.15,180.37,1.76,33.57,14.29,412.0,Severe
DL037,2019-11-02,373.65,519.76,12.91,45.17,68.51,2.24,22.5,36.83,521.0,Severe
WB011,2019-01-20,314.04,484.41,139.56,46.69,47.54,1.27,20.76,29.16,459.0,Severe
DL018,2018-11-01,202.68,388.78,188.58,107.29,48.16,4.36,15.63,25.13,402.0,Severe
DL028,2018-01-20,250.25,250.25,5.2,90.93,66.02,1.06,18.7,342.08,419.0,Severe
DL002,2016-11-14,216.65,586.52,204.17,122.44,86.8,3.2,30.67,53.26,622.0,Severe
DL023,2019-11-22,239.35,439.94,95.42,86.84,30.67,1.7,19.38,80.3,453.0,Severe
WB011,2019-01-04,304.67,456.09,37.45,109.84,26.18,0.25,18.33,50.15,476.0,Severe
DL020,2020-01-13,225.82,362.2,52.98,56.14,75.39,1.93,14.34,25.67,403.0,Severe
DL019,2015-12-24,89.52,188.69,4.66,64.59,27.64,0.9,14.03,43.6,468.0,Severe
DL001,2018-12-24,323.21,473.4,67.91,103.51,39.84,1.93,25.14,20.43,470.0,Severe
DL003,2018-11-21,234.35,345.35,62.83,57.44,36.09,1.99,16.2,33.85,416.0,Severe
DL003,2019-01-17,395.83,459.76,94.77,79.09,54.3,2.93,33.32,4.15,503.0,Severe
DL028,2017-12-28,313.25,313.25,166.01,133.01,70.66,3.37,24.01,524.54,475.0,Severe
DL028,2015-12-07,288.36,288.36,65.8,116.97,53.56,2.68,28.41,443.66,443.0,Severe
DL038,2018-12-19,297.33,482.56,71.76,75.76,71.18,1.95,26.86,20.89,427.0,Severe
DL034,2018-12-20,204.3,489.89,86.64,71.98,30.01,3.28,21.17,37.51,460.0,Severe
DL032,2018-11-23,240.24,383.26,66.93,48.88,64.84,2.8,25.96,32.91,434.0,Severe
DL038,2019-01-12,396.73,601.88,112.06,87.7,98.56,3.02,19.01,14.07,609.0,Severe
DL016,2018-12-23,437.94,680.71,96.36,97.73,82.95,4.63,24.4,20.88,642.0,Severe
DL038,2019-10-29,359.67,538.56,43.3,48.46,67.87,2.72,17.49,12.25,470.0,Severe
DL010,2019-11-16,208.1,339.4,10.64,25.33,10.37,1.61,20.01,43.12,490.0,Severe
DL020,2019-01-02,475.17,691.92,136.49,84.68,82.27,4.19,28.23,23.32,670.0,Severe
DL019,2019-01-02,307.21,357.3,129.32,177.96,32.92,1.27,5.12,13.19,428.0,Severe
DL032,2018-11-21,251.04,379.68,48.03,51.76,61.31,2.13,28.02,33.38,428.0,Severe
DL028,2018-01-08,190.5,190.5,90.65,107.31,51.16,1.86,23.74,342.58,415.0,Severe
DL003,2019-12-28,286.0,449.83,54.65,37.06,55.18,1.22,9.93,8.11,422.0,Severe
DL010,2019-11-13,472.0,729.0,47.56,40.3,19.64,3.86,19.54,38.56,676.0,Severe
DL020,2018-11-05,379.25,547.71,12.85,43.95,69.75,1.76,22.02,34.24,440.0,Severe
DL026,2020-01-13,257.83,394.67,95.55,52.45,58.81,2.58,16.6,21.76,412.0,Severe
DL038,2020-01-22,243.88,331.48,69.81,30.48,47.55,2.81,8.73,7.35,426.0,Severe
DL002,2016-05-16,117.22,539.1,144.15,96.18,58.69,0.9,20.58,22.22,557.0,Severe
DL003,2018-10-29,137.18,519.64,111.14,100.62,54.04,2.83,23.16,44.19,414.0,Severe
DL002,2017-05-05,208.78,552.37,103.0,106.95,49.43,2.74,45.98,73.36,533.0,Severe
DL022,2019-11-01,356.23,479.92,7.62,16.54,43.24,1.67,7.42,32.86,515.0,Severe
DL002,2016-12-09,417.29,670.57,62.49,31.48,38.85,5.49,25.86,15.03,605.0,Severe
DL002,2015-04-10,106.38,430.46,26.64,76.95,21.82,1.8,15.95,13.68,402.0,Severe
DL028,2019-01-18,211.22,211.22,31.64,108.78,71.25,2.25,24.39,366.69,408.0,Severe
DL028,2017-12-22,203.46,203.46,17.99,111.7,71.51,1.48,21.64,318.83,419.0,Severe
DL024,2018-12-30,442.03,568.1,26.14,86.97,89.2,3.71,24.8,2.82,569.0,Severe
DL032,2019-11-03,558.04,679.07,12.64,24.74,44.95,2.6,2.8,7.36,648.0,Severe
DL028,2015-11-24,253.03,253.03,111.28,118.58,43.08,1.77,8.91,557.7,470.0,Severe
DL032,2018-12-07,253.33,408.62,98.16,57.17,68.52,2.79,19.78,22.04,438.0,Severe
DL002,2017-03-29,125.47,426.17,177.7,123.88,83.11,2.03,29.89,13.86,423.0,Severe
DL008,2019-01-21,235.3,411.79,115.44,100.98,25.51,3.94,26.37,27.72,469.0,Severe
DL036,2018-11-09,221.62,288.3,26.96,35.68,30.89,1.18,16.12,45.92,425.0,Severe
DL031,2017-11-13,367.54,622.79,182.39,141.36,59.09,4.56,33.98,70.86,691.0,Severe
DL022,2020-01-02,292.77,381.12,46.15,51.75,50.8,2.51,8.02,24.54,452.0,Severe
DL016,2018-11-05,383.0,515.62,28.3,80.12,55.67,1.93,25.43,33.09,418.0,Severe
DL003,2019-01-21,205.31,263.26,63.73,50.84,54.2,2.44,24.63,8.57,436.0,Severe
DL035,2018-12-21,268.65,363.44,106.12,65.59,43.73,3.31,11.06,40.88,419.0,Severe
DL028,2017-12-05,256.72,256.72,56.95,148.8,91.49,2.59,25.45,437.11,407.0,Severe
DL028,2018-11-09,330.47,330.47,151.28,192.59,70.37,2.94,23.58,483.97,466.0,Severe
DL018,2018-06-15,198.79,610.67,10.64,41.67,16.19,0.51,5.91,31.51,764.0,Severe
DL027,2019-12-29,344.38,531.21,17.07,22.91,6.53,1.65,1.38,10.98,488.0,Severe
DL019,2018-12-23,384.78,436.11,105.13,251.79,60.44,3.02,5.73,35.89,479.0,Severe
DL038,2020-01-21,304.29,446.54,58.21,28.24,42.09,3.19,10.24,9.13,408.0,Severe
