iter	Passed	Remaining
404	26513	6677
405	26560	6607
406	26607	6537
407	26661	6469
408	26710	6399
409	26757	6330
410	26803	6260
411	26852	6191
412	26899	6122
413	26937	6051
414	26975	5980
415	27014	5909
416	27052	5838
417	27089	5767
418	27128	5697
419	27159	5625
420	27192	5554
421	27227	5484
422	27257	5412
423	27289	5342
424	27319	5270
425	27347	5199
426	27378	5129
427	27412	5059
428	27440	4989
429	27472	4919
430	27502	4849
431	27535	4780
432	27564	4710
433	27593	4641
434	27627	4572
435	27664	4504
436	27694	4436
437	27726	4367
438	27757	4299
439	27788	4231
440	27817	4163
441	27844	4094
442	27874	4026
443	27907	3959
444	27941	3892
445	27968	3825
446	27999	3758
447	28031	3691
448	28068	3625
449	28097	3559
450	28123	3492
451	28154	3425
452	28183	3359
453	28212	3293
454	28245	3228
455	28276	3162
456	28304	3096
457	28333	3031
458	28363	2966
459	28393	2901
460	28424	2836
461	28453	2771
462	28483	2706
463	28515	2642
464	28542	2578
465	28573	2514
466	28597	2449
467	28618	2384
468	28642	2320
469	28669	2256
470	28693	2193
471	28717	2129
472	28742	2066
473	28767	2002
474	28793	1939
475	28816	1876
476	28838	1813
477	28862	1751
478	28890	1688
479	28917	1626
480	28942	1564
481	28968	1502
482	28991	1440
483	29018	1378
484	29041	1317
485	29065	1255
486	29086	1194
487	29111	1133
488	29136	1072
489	29157	1011
490	29178	950
491	29199	890
492	29218	829
493	29236	769
494	29255	709
495	29269	649
496	29290	589
497	29306	529
498	29321	470
499	29336	410
500	29352	351
501	29369	292
502	29385	233
503	29401	175
504	29417	116
505	29433	58
506	29449	0
62	0
