iter	MultiClass
413	0.4329347561
414	0.4328379038
415	0.4328009373
416	0.4326960652
417	0.4326525
418	0.4324753876
419	0.4323521296
420	0.4322725134
421	0.4321177816
422	0.4320104892
423	0.4318976456
424	0.4317854394
425	0.4317028371
426	0.4315656325
427	0.4314396444
428	0.4313691329
429	0.4312664837
430	0.4311380902
431	0.4309469836
432	0.4307990634
433	0.4306972679
434	0.4305281873
435	0.4303566448
436	0.4302482562
437	0.4301090142
438	0.4300240294
439	0.4299453978
440	0.4298960493
441	0.4297963749
442	0.4296864831
443	0.4295355066
444	0.4294723419
445	0.4293216178
446	0.4291802208
447	0.4291181604
448	0.4290431631
449	0.4289991199
450	0.4288939243
451	0.4287714057
452	0.4286853499
453	0.4286056978
454	0.4285143207
455	0.4284150538
456	0.4282882204
457	0.4281117206
458	0.428011709
459	0.4278824785
460	0.4277446061
461	0.4277055599
462	0.4275949245
463	0.4274809297
464	0.4274114219
465	0.4273357853
466	0.4272170217
467	0.42716073
468	0.4270718835
469	0.4269330041
470	0.4267927167
471	0.4267119447
472	0.4266434519
473	0.4265480239
474	0.4263974799
475	0.4263054946
476	0.4262064875
477	0.4260940795
478	0.425951549
479	0.4258636702
480	0.4257440877
481	0.425658799
482	0.4255503725
483	0.4253013616
484	0.4251863754
485	0.4250990567
486	0.4250314181
487	0.4248945638
488	0.4247464645
489	0.4246656212
490	0.4245547063
491	0.4244525894
492	0.4242932777
493	0.4242534732
494	0.4241487598
495	0.4240646009
496	0.4239285592
497	0.4238254482
498	0.423770661
499	0.4237173525
500	0.4235770679
501	0.423501944
502	0.4233585727
503	0.4232759786
504	0.4231090699
505	0.4230034078
506	0.4228999306
8
2738202
